epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.969,0.8203,1.37609,3.30005,0.99638,0,0.01706,0.35172,0.01495,0.00993,0.01856,0.38276,0.01974,0.01331,0.54675,0.75578,3.33827,0.86036,0,0.000518622,0.000518622,0.000518622
2,35.6357,1.30012,2.47527,3.3277,1.1499,0,0.01113,0.22414,0.02135,0.004,0.01404,0.28276,0.01332,0.00257,3.08103,5.42035,3.60401,2.33156,0,0.00106365,0.00106365,0.00106365
3,45.0352,2.45541,4.50475,3.03275,1.59006,0,0.01765,0.37608,0.07077,0.03318,0.02026,0.4278,0.05695,0.02447,2.34697,3.40043,3.36085,1.92876,0,0.00159768,0.00159768,0.00159768
4,54.4636,1.91703,2.16742,2.85577,1.39957,0,0.01486,0.39763,0.01836,0.00388,0.0236,0.66056,0.28148,0.10349,1.71029,12.2373,3.28989,1.50829,0,0.00161749,0.00161749,0.00161749
5,64.0189,1.48397,2.58031,2.72158,1.21325,0,0.02665,0.70151,0.04012,0.01494,0.02725,0.73966,0.12066,0.04733,1.56645,2.70087,3.00048,1.41692,0,0.00160099,0.00160099,0.00160099
6,73.4637,1.48198,1.8479,2.40653,1.2335,0,0.55517,0.21034,0.08345,0.03339,0.02251,0.71875,0.06973,0.04039,1.62614,4.86587,2.72459,1.40533,0,0.00158448,0.00158448,0.00158448
7,82.9069,1.44357,2.10224,2.2144,1.23743,0,0.79328,0.44519,0.5916,0.35826,0.77952,0.44138,0.5583,0.41637,1.13197,2.21011,1.73888,1.1481,0,0.00156798,0.00156798,0.00156798
8,92.4359,1.20997,1.38753,1.81404,1.15369,0,0.80198,0.42069,0.46714,0.30207,0.80198,0.42069,0.46652,0.371,1.10156,1.26681,1.95023,1.15911,0,0.00155148,0.00155148,0.00155148
9,101.863,1.10316,1.29017,1.48304,1.12398,0,0.80198,0.42069,0.46714,0.30207,0.80198,0.42069,0.46652,0.371,1.10156,1.26681,1.95023,1.15911,0,0.00153497,0.00153497,0.00153497
10,111.209,1.03139,1.20156,1.34664,1.10303,0,0.91716,0.48624,0.47391,0.3345,0.91716,0.48624,0.47421,0.38175,0.93975,1.23889,1.87663,1.04393,0,0.00151847,0.00151847,0.00151847
11,120.748,1.0247,1.10111,1.22917,1.06456,0,0.95197,0.49655,0.53631,0.35546,0.95197,0.49655,0.53662,0.42186,1.0822,1.05466,1.86148,1.06015,0,0.00150197,0.00150197,0.00150197
12,130.337,0.87778,1.05258,1.12238,1.0083,0,0.94776,0.4931,0.56658,0.43987,0.94776,0.4931,0.56658,0.46635,0.83847,0.99831,1.64359,0.96632,0,0.00148546,0.00148546,0.00148546
13,139.851,0.83405,1.08693,1.06426,0.99468,0,0.85567,0.55533,0.63606,0.51578,0.85567,0.55533,0.63606,0.54166,0.75492,0.96962,1.19248,0.92912,0,0.00146896,0.00146896,0.00146896
14,149.375,0.79078,0.99,1.00063,0.97947,0,0.80507,0.5625,0.6609,0.53741,0.80507,0.5625,0.6609,0.54791,0.75197,0.96678,1.07961,0.92439,0,0.00145246,0.00145246,0.00145246
15,159.04,0.75045,0.97041,0.9734,0.96096,0,0.66812,0.71875,0.81088,0.69126,0.66426,0.7153,0.81088,0.6566,0.66169,0.94414,0.87016,0.90333,0,0.00143595,0.00143595,0.00143595
16,168.552,0.72953,0.98697,0.90519,0.95797,0,0.73564,0.8125,0.83887,0.7086,0.73564,0.8125,0.83887,0.68537,0.65572,0.88929,0.82275,0.89557,0,0.00141945,0.00141945,0.00141945
17,178.198,0.74187,0.9107,0.91817,0.9519,0,0.78501,0.74655,0.85663,0.7266,0.78501,0.74655,0.85663,0.69865,0.63646,0.84157,0.86431,0.88959,0,0.00140295,0.00140295,0.00140295
18,187.68,0.70736,0.91894,0.88919,0.94489,0,0.76747,0.84375,0.8805,0.75227,0.76747,0.84375,0.8805,0.71663,0.61295,0.79115,0.9518,0.8911,0,0.00138644,0.00138644,0.00138644
19,197.119,0.69402,0.89396,0.85102,0.94438,0,0.77148,0.84375,0.89844,0.7715,0.77148,0.84375,0.89844,0.74385,0.58543,0.82817,0.88886,0.87687,0,0.00136994,0.00136994,0.00136994
20,206.632,0.67039,0.84032,0.83288,0.93549,0,0.80243,0.92727,0.96041,0.84065,0.80243,0.92727,0.96041,0.80479,0.53737,0.73591,0.82435,0.86253,0,0.00135344,0.00135344,0.00135344
21,216.137,0.64796,0.84375,0.8365,0.93213,0,0.84466,1,0.98102,0.85451,0.84466,1,0.98102,0.82886,0.53321,0.74017,0.69799,0.8641,0,0.00133693,0.00133693,0.00133693
22,225.71,0.67318,0.94036,0.81611,0.93135,0,0.8989,0.96875,0.99085,0.86443,0.8989,0.96875,0.99085,0.84706,0.53408,0.69427,0.65718,0.86709,0,0.00132043,0.00132043,0.00132043
